2015 Lexus GX 460 GX 460 Sport Utility 4D,"118,303 mi.","$24,999",Good
2015 Lexus GX 460 Luxury,"191,905 mi.","$20,650",Fair
2015 Lexus GX 460 Base,"101,153 mi.","$25,995",Good
2015 Lexus GX 460 Base,"62,391 mi.","$29,995",Fair
2015 Lexus GX 460 460,"104,340 mi.","$27,000",Good
2015 Lexus GX 460 Luxury,"144,008 mi.","$21,999",Good
2015 Lexus GX 460 4WD 4dr,"94,170 mi.","$27,950",Fair
2015 Lexus GX 460 Base,"165,282 mi.","$18,500",Good
2015 Lexus GX 460 Luxury,"95,696 mi.","$25,848",Good
2015 Lexus GX 460 460,"92,195 mi.","$24,999",Good
2015 Lexus GX 460 Base,"90,871 mi.","$24,995",Good
2015 Lexus GX 460 Base,"138,118 mi.","$25,990",Good
2015 Lexus GX 460 Base,"50,109 mi.","$28,990",Good
2015 Lexus GX 460 Base,"91,805 mi.","$25,998",Good
2015 Lexus GX 460 Base,"114,926 mi.","$22,900",Good
2015 Lexus GX 460 Luxury,"81,217 mi.","$28,998",Good
2015 Lexus GX 460 Luxury AWD 4dr SUV,"84,148 mi.","$29,756",Fair
2015 Lexus GX 460 Base,"99,870 mi.","$24,995",Good
2015 Lexus GX 460 Luxury,"115,594 mi.","$24,598",Good
2015 Lexus GX 460 Base,"125,035 mi.","$21,488",Good
2015 Lexus GX 460 Base,"104,653 mi.","$25,998",Good
2015 Lexus GX 460 Base,"139,507 mi.","$31,995",Fair
2015 Lexus GX 460 Luxury,"135,383 mi.","$23,994",Good
2015 Lexus GX 460,"139,557 mi.","$23,498",Good
2015 Lexus GX 460 Base,"122,637 mi.","$22,995",Good
2015 Lexus GX 460 Luxury,"62,779 mi.","$33,990",Fair
2015 Lexus GX 460 Base,"165,000 mi.","$20,499",Good
2015 Lexus GX 460 Luxury,"128,242 mi.","$24,999",Good
2015 Lexus GX 460 460,"128,583 mi.","$21,174",Good
2015 Lexus GX 460 Base,"109,242 mi.","$22,779",Good
2015 Lexus GX 460 Luxury,"110,362 mi.","$23,799",Good
2015 Lexus GX 460 Base,"67,500 mi.","$28,400",Good
2015 Lexus GX 460 Luxury,"77,985 mi.","$28,699",Good
2015 Lexus GX 460 Base,"190,829 mi.","$18,000",Good
2015 Lexus GX 460 Luxury,"85,753 mi.","$28,995",Good
2015 Lexus GX 460 Base,"98,830 mi.","$26,952",Good
2015 Lexus GX 460 460,"141,756 mi.","$21,700",Good
2015 Lexus GX 460 4WD 4dr,"91,360 mi.","$25,888",Good
2015 Lexus GX 460 Base,"97,908 mi.","$24,977",Good
2015 Lexus GX 460 Base,"135,390 mi.","$25,900",Fair
2015 Lexus GX 460 Base,"141,000 mi.","$24,699",None
2015 Lexus GX 460 Luxury,"111,336 mi.","$27,599",Fair
2016 Lexus GX 460 460,"106,649 mi.","$22,412",Good
2016 Lexus GX 460 Base,"98,668 mi.","$26,468",Good
2016 Lexus GX 460 Base,"99,912 mi.","$26,998",Great
2016 Lexus GX 460 GX 460 Sport Utility 4D,"172,498 mi.","$19,995",Great
2016 Lexus GX 460 Base,"96,422 mi.","$27,991",Good
2016 Lexus GX 460 Base,"81,559 mi.","$29,998",Good
2016 Lexus GX 460 Base,"58,957 mi.","$29,999",Good
2016 Lexus GX 460 Base AWD 4dr SUV,"79,000 mi.","$26,750",None
2016 Lexus GX 460 Base,"171,947 mi.","$23,397",Fair
2016 Lexus GX 460 460,"112,061 mi.","$25,640",Good
2016 Lexus GX 460 Base,"73,094 mi.","$22,500",Great
2016 Lexus GX 460 GX 460 Sport Utility 4D,"94,012 mi.","$26,750",Great
2016 Lexus GX 460 Base,"78,378 mi.","$28,202",Good
2016 Lexus GX 460,"94,869 mi.","$27,497",Good
2016 Lexus GX 460 Base,"56,263 mi.","$26,840",Great
2016 Lexus GX 460 Base,"98,594 mi.","$23,900",Great
2016 Lexus GX 460 Luxury,"82,595 mi.","$27,784",Good
2016 Lexus GX 460,"79,037 mi.","$30,000",Good
2016 Lexus GX 460 Base,"135,875 mi.","$24,790",Good
2016 Lexus GX 460 460,"45,840 mi.","$32,987",Good
2016 Lexus GX 460 460,"90,479 mi.","$26,500",None
2016 Lexus GX 460 Base,"87,448 mi.","$28,999",Good
2016 Lexus GX 460 Base,"117,658 mi.","$27,459",Fair
2016 Lexus GX 460 460,"128,979 mi.","$22,500",Good
2016 Lexus GX 460 Luxury,"86,809 mi.","$27,000",Good
2016 Lexus GX 460 Base,"78,783 mi.","$27,999",Good
2016 Lexus GX 460,"168,551 mi.","$22,995",Good
2016 Lexus GX 460 Luxury,"57,259 mi.","$29,991",Good
2016 Lexus GX 460 Base,"72,446 mi.","$29,000",Good
2016 Lexus GX 460 Base,"97,079 mi.","$26,888",Good
2016 Lexus GX 460 Base,"56,463 mi.","$31,559",Good
2016 Lexus GX 460 Luxury,"119,856 mi.","$26,995",Good
2016 Lexus GX 460 Base,"74,944 mi.","$25,499",Good
2016 Lexus GX 460 Luxury,"86,162 mi.","$29,470",Good
2016 Lexus GX 460 Base,"65,800 mi.","$28,400",Good
2016 Lexus GX 460 4WD 4dr,"111,817 mi.","$21,490",Good
2016 Lexus GX 460 Luxury,"129,435 mi.","$21,544",Good
2016 Lexus GX 460 Luxury,"79,650 mi.","$24,991",Fair
2016 Lexus GX 460 Base,"89,804 mi.","$22,979",Good
2016 Lexus GX 460 Luxury,"83,921 mi.","$28,998",Good
2016 Lexus GX 460,"100,019 mi.","$26,447",Good
2016 Lexus GX 460 Base (A6),"140,551 mi.","$22,885",Good
2016 Lexus GX 460 Luxury,"48,299 mi.","$35,946",Good
2016 Lexus GX 460 GX 460 Sport Utility 4D,"70,193 mi.","$29,995",Good
2016 Lexus GX 460 Base,"106,459 mi.","$23,995",Good
2016 Lexus GX 460 Base,"154,802 mi.","$20,111",Good
2016 Lexus GX 460 Luxury,"67,564 mi.","$31,841",Good
2016 Lexus GX 460 Base,"152,761 mi.","$19,997",Good
2016 Lexus GX 460 Base,"154,636 mi.","$20,500",Good
2016 Lexus GX 460 GX 460 Sport Utility 4D,"79,360 mi.","$25,995",Good
2016 Lexus GX 460 Base,"101,055 mi.","$24,426",Good
2016 Lexus GX 460 Base,"105,560 mi.","$26,290",Good
2016 Lexus GX 460 Base,"94,076 mi.","$28,550",Good
2016 Lexus GX 460 Base,"146,035 mi.","$24,995",Good
2016 Lexus GX 460 460,"100,772 mi.","$26,500",Good
2016 Lexus GX 460 Base,"151,503 mi.","$23,595",Good
2016 Lexus GX 460 Luxury,"84,411 mi.","$30,495",Great
2016 Lexus GX 460 Base,"90,523 mi.","$27,870",Good
2016 Lexus GX 460 Base,"115,502 mi.","$24,888",Good
2016 Lexus GX 460 460,"87,965 mi.","$25,555",Good
2016 Lexus GX 460 Luxury,"113,623 mi.","$27,995",Good
2016 Lexus GX 460 460,"97,156 mi.","$25,992",Good
2016 Lexus GX 460 Base,"80,222 mi.","$28,456",Good
2016 Lexus GX 460 Base,"51,469 mi.","$29,748",Good
2016 Lexus GX 460 460,"128,288 mi.","$24,285",Good
2016 Lexus GX 460 460,"74,827 mi.","$27,818",Great
2016 Lexus GX 460 Base,"135,720 mi.","$21,995",Good
2016 Lexus GX 460 Luxury,"118,424 mi.","$25,555",Great
2016 Lexus GX 460 Base,"42,000 mi.","$33,777",Good
2016 Lexus GX 460 Base,"54,048 mi.","$21,999",None
2016 Lexus GX 460 Luxury,"116,873 mi.","$22,995",Good
2017 Lexus GX 460 460,"114,452 mi.","$23,285",Good
2017 Lexus GX 460 Base,"78,749 mi.","$29,978",Good
2017 Lexus GX 460 Base,"112,662 mi.","$25,527",Great
2017 Lexus GX 460 GX 460,"52,157 mi.","$29,500",Great
2017 Lexus GX 460 460,"89,679 mi.","$26,322",Good
2017 Lexus GX 460 Base,"87,515 mi.","$31,900",Good
2017 Lexus GX 460 Base,"76,062 mi.","$32,901",Good
2017 Lexus GX 460 Base,"64,435 mi.","$31,884",Good
2017 Lexus GX 460 Base,"143,991 mi.","$25,399",Good
2017 Lexus GX 460 Base,"52,054 mi.","$32,000",Good
2017 Lexus GX 460 Luxury,"38,865 mi.","$32,500",Good
2017 Lexus GX 460 Base,"85,032 mi.","$29,401",Good
2017 Lexus GX 460 Base,"72,986 mi.","$30,750",Good
2017 Lexus GX 460 Base,"65,631 mi.","$32,590",Good
2017 Lexus GX 460 Base,"82,344 mi.","$25,499",Good
2017 Lexus GX 460 Base,"97,067 mi.","$27,393",Great
2017 Lexus GX 460 Luxury,"86,568 mi.","$29,000",Good
2017 Lexus GX 460 Luxury,"118,127 mi.","$39,995",None
2017 Lexus GX 460 Luxury,"89,957 mi.","$30,987",Good
2017 Lexus GX 460 GX 460 Sport Utility 4D,"96,256 mi.","$30,900",Fair
2017 Lexus GX 460 GX 460 4WD,"85,278 mi.","$28,995",Good
2017 Lexus GX 460 460,"95,442 mi.","$26,995",Good
2017 Lexus GX 460 Base,"100,971 mi.","$28,800",Good
2017 Lexus GX 460 GX 460,"133,990 mi.","$23,668",Good
2017 Lexus GX 460 460 Luxury,"107,300 mi.","$26,317",Good
2017 Lexus GX 460 GX 460 Sport Utility 4D,"97,898 mi.","$26,990",Good
2017 Lexus GX 460 Base,"81,549 mi.","$29,578",Good
2017 Lexus GX 460 Base,"84,108 mi.","$29,995",Good
2017 Lexus GX 460 460,"95,801 mi.","$24,372",Great
2017 Lexus GX 460 Base,"80,873 mi.","$30,277",Great
2017 Lexus GX 460 460,"84,248 mi.","$29,500",Good
2017 Lexus GX 460 Luxury,"109,816 mi.","$31,777",Fair
2017 Lexus GX 460 Base,"81,745 mi.","$29,999",Good
2017 Lexus GX 460 Base,"54,437 mi.","$30,500",Great
2017 Lexus GX 460 Base,"73,702 mi.","$29,690",Good
2017 Lexus GX 460 Base,"88,676 mi.","$28,599",Good
2017 Lexus GX 460 Base,"79,648 mi.","$28,549",Good
2017 Lexus GX 460 Base,"50,752 mi.","$31,998",None
2017 Lexus GX 460 Base,"120,432 mi.","$24,488",Good
2017 Lexus GX 460 Base,"85,539 mi.","$28,999",Good
2017 Lexus GX 460 460,"70,041 mi.","$30,993",Good
2017 Lexus GX 460 460,"103,223 mi.","$24,598",Good
2017 Lexus GX 460 Base,"101,147 mi.","$26,995",Good
2017 Lexus GX 460 Base,"79,463 mi.","$30,897",Good
2017 Lexus GX 460 460,"118,235 mi.","$24,995",Good
2017 Lexus GX 460 Base,"88,036 mi.","$30,995",Good
2017 Lexus GX 460 GX 460,"69,920 mi.","$29,495",Good
2017 Lexus GX 460 GX 460,"66,937 mi.","$32,950",Good
2017 Lexus GX 460 460,"65,731 mi.","$29,998",Good
2017 Lexus GX 460 Luxury,"101,433 mi.","$26,900",Good
2017 Lexus GX 460 Base,"67,635 mi.","$27,998",Great
2017 Lexus GX 460 460,"60,074 mi.","$30,488",Good
2017 Lexus GX 460 Base,"133,190 mi.","$25,900",Good
2017 Lexus GX 460 Base,"78,377 mi.","$32,988",Fair
2017 Lexus GX 460 Base,"81,088 mi.","$28,982",Good
2017 Lexus GX 460 Base,"158,032 mi.","$19,898",Good
2017 Lexus GX 460 Base,"85,537 mi.","$28,998",Good
2017 Lexus GX 460 Base,"105,310 mi.","$25,858",Good
2017 Lexus GX 460 Base,"91,055 mi.","$27,500",Great
2017 Lexus GX 460 Base,"126,808 mi.","$29,896",Fair
2017 Lexus GX 460 GX 460,"48,927 mi.","$27,995",Good
2017 Lexus GX 460 Base,"62,983 mi.","$34,990",Good
2017 Lexus GX 460 Luxury,"97,260 mi.","$30,955",Good
2017 Lexus GX 460 Base,"98,056 mi.","$28,898",Good
2017 Lexus GX 460 Luxury,"91,031 mi.","$30,000",Good
2017 Lexus GX 460 Luxury,"115,582 mi.","$27,995",Good
2017 Lexus GX 460 GX 460,"98,226 mi.","$29,980",Good
2017 Lexus GX 460 Base,"76,080 mi.","$31,998",Good
2017 Lexus GX 460 Base,"54,422 mi.","$31,499",Good
2017 Lexus GX 460 Luxury,"46,551 mi.","$34,000",Good
2017 Lexus GX 460 Base AWD 4dr SUV,"96,347 mi.","$28,995",Good
2017 Lexus GX 460 460,"70,653 mi.","$23,997",Good
2017 Lexus GX 460 Base,"73,959 mi.","$34,998",Fair
2017 Lexus GX 460 GX 460 Luxury,"89,264 mi.","$30,895",Great
2017 Lexus GX 460 460,"90,433 mi.","$29,900",Fair
2017 Lexus GX 460 Base,"100,506 mi.","$26,999",Good
2017 Lexus GX 460 Luxury,"105,690 mi.","$25,996",Good
2017 Lexus GX 460 Base,"59,581 mi.","$31,500",Good
2017 Lexus GX 460 460,"85,867 mi.","$27,795",Good
2017 Lexus GX 460 Base,"94,745 mi.","$26,999",Good
2017 Lexus GX 460 Base,"60,400 mi.","$24,499",Great
2018 Lexus GX 460 GX 460,"50,286 mi.","$31,998",Good
2018 Lexus GX 460 Luxury,"63,773 mi.","$39,998",Good
2018 Lexus GX 460 460,"88,136 mi.","$27,877",Good
2018 Lexus GX 460 Base,"58,593 mi.","$34,491",Good
2018 Lexus GX 460 Luxury,"62,605 mi.","$37,500",Good
2018 Lexus GX 460 Base,"74,959 mi.","$32,864",Good
2018 Lexus GX 460 Base,"37,118 mi.","$37,995",Good
2018 Lexus GX 460 Luxury,"113,702 mi.","$27,495",Good
2018 Lexus GX 460 GX 460 Premium,"77,723 mi.","$30,500",Great
2018 Lexus GX 460 GX 460,"93,274 mi.","$30,998",Good
2018 Lexus GX 460 Luxury,"82,050 mi.","$34,995",Good
2018 Lexus GX 460 Luxury,"95,667 mi.","$30,684",Good
2018 Lexus GX 460 Luxury,"46,997 mi.","$39,881",Good
2018 Lexus GX 460 Base,"50,324 mi.","$36,999",Good
2018 Lexus GX 460 Base,"83,901 mi.","$29,969",Fair
2018 Lexus GX 460 Base,"119,030 mi.","$24,997",Great
