2015 Lexus GX 460 Luxury,"110,362 mi.","$23,799",Good,Used
2015 Lexus GX 460 GX 460 Sport Utility 4D,"118,303 mi.","$24,500",Good,Used
2015 Lexus GX 460 Luxury,"94,541 mi.","$29,334",Good,Used
2015 Lexus GX 460 Base,"165,000 mi.","$19,999",Great,Used
2015 Lexus GX 460 Base,"190,830 mi.","$18,000",Good,Used
2015 Lexus GX 460 460,"92,185 mi.","$26,418",Good,Used
2015 Lexus GX 460 Base,"93,076 mi.","$26,891",Good,Used
2015 Lexus GX 460 Luxury,"95,696 mi.","$25,570",Good,Used
2015 Lexus GX 460 LOCAL TRADE - 2 KEYS- NEW NICHELINS- SERVICED- LOW MILES,"75,982 mi.","$28,977",Good,Used
2015 Lexus GX 460 Base,"99,870 mi.","$24,995",Good,Used
2015 Lexus GX 460 Base,"139,507 mi.","$29,995",Fair,Used
2015 Lexus GX 460 Base,"92,453 mi.","$25,989",Good,Used
2015 Lexus GX 460 Luxury,"144,008 mi.","$21,999",Good,Used
2015 Lexus GX 460 460,"117,697 mi.","$22,948",Good,Used
2015 Lexus GX 460 Luxury,"191,905 mi.","$20,650",Good,Used
2015 Lexus GX 460 Base,"67,500 mi.","$28,200",Good,Used
2015 Lexus GX 460 Base,"165,198 mi.","$20,777",Good,Used
2015 Lexus GX 460 460,"93,334 mi.","$24,500",Good,Used
2015 Lexus GX 460 Base,"86,917 mi.","$27,281",Good,Used
2015 Lexus GX 460 Base,"165,282 mi.","$18,500",Good,Used
2015 Lexus GX 460 Base,"120,000 mi.","$22,995",Good,Used
2015 Lexus GX 460 Luxury,"73,500 mi.","$30,274",Good,Used
2015 Lexus GX 460 460,"138,469 mi.","$24,995",Fair,Used
2015 Lexus GX 460 4WD 4dr,"101,007 mi.","$20,900",Good,Used
2015 Lexus GX 460 Base,"91,000 mi.","$28,200",Fair,Used
2015 Lexus GX 460,"139,557 mi.","$23,498",Good,Used
None,"20,922 mi.","$48,999",Good,Used
2015 Lexus GX 460 Luxury,"135,383 mi.","$22,990",Good,Used
2015 Lexus GX 460 Base,"86,249 mi.","$24,998",Good,Used
2015 Lexus GX 460 460,"132,628 mi.","$18,995",Great,Used
2015 Lexus GX 460 Base,"135,390 mi.","$25,900",Fair,Used
2015 Lexus GX 460 460,"128,583 mi.","$21,174",Good,Used
2015 Lexus GX 460 Base,"125,035 mi.","$19,988",Good,Used
2015 Lexus GX 460 Luxury,"136,138 mi.","$22,999",Good,Used
2015 Lexus GX 460 Base,"104,988 mi.","$29,888",Fair,Used
2015 Lexus GX 460 Luxury,"115,594 mi.","$23,998",Good,Used
2015 Lexus GX 460 Luxury,"128,242 mi.","$24,999",Great,Used
2015 Lexus GX 460 4WD 4dr,"94,170 mi.","$27,950",Good,Used
2015 Lexus GX 460 Luxury,"62,779 mi.","$33,990",Fair,Used
2015 Lexus GX 460 Luxury,"113,020 mi.","$25,990",Good,Used
2015 Lexus GX 460 Base,"107,527 mi.","$24,998",Good,Used
2015 Lexus GX 460 460,"104,340 mi.","$27,000",Good,Used
2015 Lexus GX 460 Base,"138,118 mi.","$25,990",Good,Used
2015 Lexus GX 460 Base,"68,209 mi.","$32,240",Fair,Used
2015 Lexus GX 460 Base,"79,762 mi.","$25,998",Good,Used
2015 Lexus GX 460 Base,"171,747 mi.","$23,777",Fair,Used
2015 Lexus GX 460 GX 460 Sport Utility 4D,"106,099 mi.","$23,367",Good,Used
2015 Lexus GX 460 Base AWD 4dr SUV,"131,400 mi.","$21,988",Fair,Used
2015 Lexus GX 460 Base,"62,391 mi.","$29,995",Good,Used
2015 Lexus GX 460 Luxury,"77,985 mi.","$28,699",Good,Used
2015 Lexus GX 460 Base,"101,153 mi.","$25,995",Good,Used
2015 Lexus GX 460 460,"141,756 mi.","$21,700",Good,Used
2015 Lexus GX 460 Base,"97,908 mi.","$24,977",Good,Used
2015 Lexus GX 460 Base,"134,788 mi.","$23,500",Good,Used
2015 Lexus GX 460 Luxury,"101,103 mi.","$27,718",Good,Used
2015 Lexus GX 460 Luxury,"111,336 mi.","$26,998",Fair,Used
2016 Lexus GX 460 Base,"171,947 mi.","$23,397",Fair,Used
2016 Lexus GX 460 Base,"154,637 mi.","$20,500",Good,Used
2016 Lexus GX 460 Base,"83,113 mi.","$29,950",None,Used
2016 Lexus GX 460 4WD,"87,150 mi.","$27,000",None,Used
2016 Lexus GX 460 Base,"152,761 mi.","$19,997",Good,Used
2016 Lexus GX 460 GX 460 Sport Utility 4D,"79,360 mi.","$25,995",Good,Used
2016 Lexus GX 460 Luxury,"80,782 mi.","$29,998",Good,Used
2016 Lexus GX 460 Base,"98,668 mi.","$26,948",Good,Used
2016 Lexus GX 460 Base,"58,957 mi.","$29,999",Good,Used
2016 Lexus GX 460 Base (A6),"94,869 mi.","$27,497",Good,Used
2016 Lexus GX 460 Base (A6),"168,551 mi.","$22,995",Good,Used
2016 Lexus GX 460 Base,"56,263 mi.","$26,700",Good,Used
2016 Lexus GX 460 Base,"106,459 mi.","$23,995",Good,Used
2016 Lexus GX 460 460,"45,840 mi.","$32,595",Good,Used
2016 Lexus GX 460 Base,"75,304 mi.","$28,965",Good,Used
2016 Lexus GX 460 Base (A6),"79,037 mi.","$30,000",Great,Used
2016 Lexus GX 460 Base,"56,463 mi.","$31,559",Good,Used
2016 Lexus GX 460 GX 460 Sport Utility 4D,"70,193 mi.","$29,995",Good,Used
2016 Lexus GX 460 Luxury,"82,595 mi.","$27,784",Good,Used
2016 Lexus GX 460 Base,"113,464 mi.","$25,900",Good,Used
2016 Lexus GX 460 Base,"94,073 mi.","$24,995",Good,Used
2016 Lexus GX 460 Base,"118,088 mi.","$26,998",Good,Used
2016 Lexus GX 460 Base,"74,944 mi.","$25,499",Good,Used
2016 Lexus GX 460 Base AWD 4dr SUV,"79,000 mi.","$25,250",Good,Used
2016 Lexus GX 460,"140,551 mi.","$22,885",Good,Used
2016 Lexus GX 460 Luxury,"129,435 mi.","$21,544",Good,Used
2016 Lexus GX 460 Base,"135,875 mi.","$24,627",Good,Used
2016 Lexus GX 460 Luxury,"67,564 mi.","$31,841",Good,Used
2016 Lexus GX 460 Base,"89,804 mi.","$22,979",Great,Used
2016 Lexus GX 460 Luxury,"86,162 mi.","$29,470",Good,Used
2016 Lexus GX 460 4WD 4dr,"111,817 mi.","$21,490",Good,Used
2016 Lexus GX 460 Base,"105,560 mi.","$26,290",Good,Used
2016 Lexus GX 460 Base,"78,783 mi.","$27,999",Good,Used
2016 Lexus GX 460 Luxury,"79,650 mi.","$24,991",Fair,Used
2016 Lexus GX 460 Luxury,"118,424 mi.","$25,555",Good,Used
2016 Lexus GX 460 Base,"51,469 mi.","$30,140",Good,Used
2016 Lexus GX 460 Base,"73,419 mi.","$29,998",Good,Used
2016 Lexus GX 460 460,"87,965 mi.","$25,555",Good,Used
2016 Lexus GX 460 Base,"65,800 mi.","$28,400",Great,Used
2016 Lexus GX 460 Base,"73,094 mi.","$22,500",Great,Used
2016 Lexus GX 460 Base,"151,503 mi.","$23,295",Good,Used
2016 Lexus GX 460 Luxury,"86,809 mi.","$27,000",Good,Used
2016 Lexus GX 460,"100,019 mi.","$25,995",Good,Used
2016 Lexus GX 460 460,"106,649 mi.","$22,412",Good,Used
2016 Lexus GX 460 460,"74,827 mi.","$27,568",Good,Used
2016 Lexus GX 460 Base,"94,076 mi.","$28,250",Good,Used
2016 Lexus GX 460 Base,"99,912 mi.","$26,998",Good,Used
2016 Lexus GX 460 Luxury,"84,411 mi.","$30,495",Great,Used
2016 Lexus GX 460 460,"100,772 mi.","$26,500",Great,Used
