Title,Miles,Price,Deal,Stock,Year,Make,Model,Sub_Model
2014 Lexus GX 460 Luxury,69455,27096,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,57669,28888,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,159305,22350,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,140243,22999,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,153858,26999,None,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,103873,21991,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,101161,23495,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,129062,22995,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,175802,18000,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 4WD 4dr,72498,24995,Good,Used,2014,Lexus,GX 460 4WD 4dr,Base
2014 Lexus GX 460 Base,97592,21899,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 4WD,171350,19995,Fair,Used,2014,Lexus,GX 460 4WD,Base
2014 Lexus GX 460 Base,138769,20995,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,105824,26995,Fair,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,176070,18944,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,107971,23978,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,75768,26499,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Luxury,134308,23895,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 460,120483,24955,Fair,Used,2014,Lexus,GX 460 460,Base
2014 Lexus GX 460 Luxury,72571,26995,Good,Used,2014,Lexus,GX 460 Luxury,Luxury
2014 Lexus GX 460 Base,156390,20999,Good,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,98534,22995,Good,Used,2014,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2014 Lexus GX 460 Base,115733,23850,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 4WD / PREMIUM / NAVIGATION,92701,26895,Fair,Used,2014,Lexus,GX 460 4WD / PREMIUM / NAVIGATION,Premium
2014 Lexus GX 460 Base,106981,27599,Fair,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,81806,25045,None,Used,2014,Lexus,GX 460 Base,Base
2014 Lexus GX 460 Base,113984,22764,Good,Used,2014,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,50234,28990,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,91805,24998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base AWD 4dr SUV,105336,24990,Good,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Base AWD 4dr SUV,176052,20488,Good,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Base,80166,24664,Good,Used,2015,Lexus,GX 460 Base,Base
